break_value,accel_value,speed,timestamp
629.0,0.0,1.0,2024-04-12 07:45:03.326870+00:00
494.0,0.0,1.0,2024-04-12 07:45:04.247115+00:00
634.0,0.0,0.0,2024-04-12 07:45:05.375876+00:00
706.0,0.0,0.0,2024-04-12 07:45:06.297532+00:00
619.0,0.0,0.0,2024-04-12 07:45:07.425224+00:00
640.0,0.0,0.0,2024-04-12 07:45:08.241744+00:00
709.0,0.0,0.0,2024-04-12 07:45:09.269529+00:00
669.0,0.0,0.0,2024-04-12 07:45:10.287954+00:00
736.0,0.0,0.0,2024-04-12 07:45:11.233493+00:00
717.0,0.0,0.0,2024-04-12 07:45:12.490552+00:00
689.0,0.0,0.0,2024-04-12 07:45:13.242305+00:00
833.0,0.0,0.0,2024-04-12 07:45:14.283658+00:00
833.0,0.0,0.0,2024-04-12 07:45:15.304394+00:00
630.0,0.0,0.0,2024-04-12 07:45:16.330447+00:00
630.0,0.0,0.0,2024-04-12 07:45:17.248941+00:00
738.0,0.0,0.0,2024-04-12 07:45:18.379812+00:00
807.0,0.0,0.0,2024-04-12 07:45:19.403931+00:00
620.0,0.0,0.0,2024-04-12 07:45:20.429675+00:00
748.0,0.0,0.0,2024-04-12 07:45:21.354020+00:00
767.0,0.0,0.0,2024-04-12 07:45:22.236052+00:00
698.0,0.0,0.0,2024-04-12 07:45:23.300513+00:00
691.0,0.0,0.0,2024-04-12 07:45:24.232033+00:00
800.0,0.0,0.0,2024-04-12 07:45:25.245321+00:00
687.0,0.0,0.0,2024-04-12 07:45:26.262598+00:00
641.0,0.0,0.0,2024-04-12 07:45:27.297843+00:00
615.0,0.0,0.0,2024-04-12 07:45:28.316649+00:00
690.0,0.0,0.0,2024-04-12 07:45:29.439900+00:00
646.0,0.0,0.0,2024-04-12 07:45:30.256294+00:00
763.0,0.0,0.0,2024-04-12 07:45:31.433800+00:00
735.0,0.0,0.0,2024-04-12 07:45:32.309695+00:00
663.0,0.0,0.0,2024-04-12 07:45:33.331731+00:00
699.0,0.0,0.0,2024-04-12 07:45:34.355781+00:00
767.0,0.0,0.0,2024-04-12 07:45:35.380630+00:00
702.0,0.0,0.0,2024-04-12 07:45:36.300828+00:00
843.0,0.0,0.0,2024-04-12 07:45:37.429282+00:00
689.0,0.0,0.0,2024-04-12 07:45:38.244554+00:00
734.0,0.0,0.0,2024-04-12 07:45:39.329236+00:00
751.0,0.0,0.0,2024-04-12 07:45:40.295725+00:00
633.0,0.0,0.0,2024-04-12 07:45:41.420438+00:00
731.0,0.0,0.0,2024-04-12 07:45:42.445689+00:00
743.0,0.0,0.0,2024-04-12 07:45:43.260753+00:00
735.0,0.0,0.0,2024-04-12 07:45:44.234381+00:00
766.0,0.0,0.0,2024-04-12 07:45:45.233446+00:00
751.0,0.0,0.0,2024-04-12 07:45:46.229268+00:00
726.0,0.0,0.0,2024-04-12 07:45:47.254689+00:00
688.0,0.0,0.0,2024-04-12 07:45:48.283108+00:00
651.0,0.0,0.0,2024-04-12 07:45:49.236530+00:00
690.0,0.0,0.0,2024-04-12 07:45:50.535774+00:00
810.0,0.0,0.0,2024-04-12 07:45:51.248460+00:00
752.0,0.0,0.0,2024-04-12 07:45:52.272019+00:00
693.0,0.0,0.0,2024-04-12 07:45:53.304297+00:00
692.0,0.0,0.0,2024-04-12 07:45:55.543548+00:00
748.0,0.0,0.0,2024-04-12 07:45:55.544546+00:00
705.0,0.0,0.0,2024-04-12 07:45:56.265487+00:00
694.0,0.0,0.0,2024-04-12 07:45:57.291284+00:00
957.0,0.0,0.0,2024-04-12 07:45:58.514506+00:00
811.0,0.0,0.0,2024-04-12 07:45:59.337090+00:00
745.0,0.0,0.0,2024-04-12 07:46:00.260775+00:00
812.0,0.0,0.0,2024-04-12 07:46:01.287937+00:00
755.0,0.0,0.0,2024-04-12 07:46:02.310728+00:00
738.0,0.0,0.0,2024-04-12 07:46:03.436903+00:00
705.0,0.0,0.0,2024-04-12 07:46:04.231932+00:00
725.0,0.0,0.0,2024-04-12 07:46:05.276550+00:00
713.0,0.0,0.0,2024-04-12 07:46:06.297683+00:00
643.0,0.0,0.0,2024-04-12 07:46:07.429637+00:00
755.0,0.0,0.0,2024-04-12 07:46:08.248490+00:00
799.0,0.0,0.0,2024-04-12 07:46:09.271795+00:00
861.0,0.0,0.0,2024-04-12 07:46:10.230348+00:00
623.0,0.0,0.0,2024-04-12 07:46:11.428606+00:00
821.0,0.0,0.0,2024-04-12 07:46:12.242824+00:00
725.0,0.0,0.0,2024-04-12 07:46:13.266831+00:00
710.0,0.0,0.0,2024-04-12 07:46:14.304397+00:00
768.0,0.0,0.0,2024-04-12 07:46:15.313641+00:00
753.0,0.0,0.0,2024-04-12 07:46:16.341999+00:00
723.0,0.0,0.0,2024-04-12 07:46:17.365050+00:00
735.0,0.0,0.0,2024-04-12 07:46:18.391741+00:00
716.0,0.0,0.0,2024-04-12 07:46:19.414586+00:00
721.0,0.0,0.0,2024-04-12 07:46:20.437415+00:00
726.0,0.0,0.0,2024-04-12 07:46:21.256955+00:00
635.0,0.0,0.0,2024-04-12 07:46:22.270681+00:00
737.0,0.0,0.0,2024-04-12 07:46:23.406689+00:00
686.0,0.0,0.0,2024-04-12 07:46:24.430702+00:00
775.0,0.0,0.0,2024-04-12 07:46:25.233562+00:00
610.0,0.0,0.0,2024-04-12 07:46:26.273204+00:00
852.0,0.0,0.0,2024-04-12 07:46:27.296428+00:00
873.0,0.0,0.0,2024-04-12 07:46:28.346857+00:00
463.0,0.0,0.0,2024-04-12 07:46:29.321616+00:00
281.0,101.0,0.0,2024-04-12 07:46:30.232121+00:00
234.0,0.0,0.0,2024-04-12 07:46:31.227411+00:00
246.0,112.0,0.0,2024-04-12 07:46:32.414025+00:00
260.0,0.0,1.0,2024-04-12 07:46:33.437930+00:00
259.0,13.0,5.0,2024-04-12 07:46:34.259245+00:00
266.0,138.0,5.0,2024-04-12 07:46:35.281209+00:00
245.0,101.0,6.0,2024-04-12 07:46:36.314246+00:00
257.0,53.0,8.0,2024-04-12 07:46:37.334033+00:00
260.0,0.0,8.0,2024-04-12 07:46:38.257912+00:00
214.0,126.0,12.0,2024-04-12 07:46:39.482948+00:00
277.0,72.0,17.0,2024-04-12 07:46:40.405268+00:00
250.0,48.0,17.0,2024-04-12 07:46:41.528045+00:00
243.0,9.0,24.0,2024-04-12 07:46:42.241719+00:00
229.0,0.0,30.0,2024-04-12 07:46:43.262349+00:00
267.0,111.0,30.0,2024-04-12 07:46:44.225893+00:00
251.0,0.0,35.0,2024-04-12 07:46:45.312871+00:00
209.0,5.0,39.0,2024-04-12 07:46:46.337797+00:00
188.0,144.0,39.0,2024-04-12 07:46:47.263974+00:00
134.0,144.0,43.0,2024-04-12 07:46:48.392263+00:00
169.0,59.0,45.0,2024-04-12 07:46:49.411882+00:00
188.0,0.0,45.0,2024-04-12 07:46:50.428150+00:00
148.0,0.0,48.0,2024-04-12 07:46:51.253471+00:00
51.0,100.0,50.0,2024-04-12 07:46:52.274428+00:00
13.0,0.0,50.0,2024-04-12 07:46:53.306922+00:00
277.0,0.0,51.0,2024-04-12 07:46:54.327209+00:00
534.0,0.0,52.0,2024-04-12 07:46:55.351176+00:00
464.0,0.0,52.0,2024-04-12 07:46:56.379550+00:00
464.0,0.0,51.0,2024-04-12 07:46:57.403401+00:00
508.0,0.0,46.0,2024-04-12 07:46:58.425152+00:00
535.0,0.0,46.0,2024-04-12 07:46:59.450407+00:00
330.0,0.0,36.0,2024-04-12 07:47:00.252888+00:00
410.0,0.0,27.0,2024-04-12 07:47:01.292096+00:00
369.0,0.0,27.0,2024-04-12 07:47:02.324258+00:00
519.0,0.0,18.0,2024-04-12 07:47:03.483993+00:00
319.0,0.0,10.0,2024-04-12 07:47:04.264396+00:00
322.0,0.0,10.0,2024-04-12 07:47:05.290838+00:00
479.0,0.0,5.0,2024-04-12 07:47:06.321522+00:00
491.0,0.0,3.0,2024-04-12 07:47:07.329059+00:00
483.0,0.0,3.0,2024-04-12 07:47:08.350228+00:00
397.0,0.0,2.0,2024-04-12 07:47:09.382865+00:00
490.0,0.0,2.0,2024-04-12 07:47:10.445204+00:00
572.0,0.0,2.0,2024-04-12 07:47:11.326015+00:00
534.0,0.0,1.0,2024-04-12 07:47:12.243565+00:00
599.0,0.0,1.0,2024-04-12 07:47:13.282311+00:00
454.0,0.0,1.0,2024-04-12 07:47:14.295094+00:00
613.0,0.0,1.0,2024-04-12 07:47:15.320617+00:00
745.0,0.0,1.0,2024-04-12 07:47:16.238868+00:00
92.0,0.0,1.0,2024-04-12 07:47:17.270370+00:00
581.0,0.0,1.0,2024-04-12 07:47:18.286266+00:00
519.0,0.0,1.0,2024-04-12 07:47:19.570578+00:00
105.0,0.0,1.0,2024-04-12 07:47:20.336575+00:00
559.0,0.0,0.0,2024-04-12 07:47:21.259607+00:00
614.0,0.0,0.0,2024-04-12 07:47:22.399431+00:00
113.0,0.0,0.0,2024-04-12 07:47:23.306410+00:00
658.0,0.0,0.0,2024-04-12 07:47:24.234842+00:00
661.0,0.0,0.0,2024-04-12 07:47:25.254048+00:00
121.0,0.0,0.0,2024-04-12 07:47:26.287810+00:00
565.0,0.0,0.0,2024-04-12 07:47:27.300191+00:00
524.0,0.0,0.0,2024-04-12 07:47:28.424799+00:00
141.0,0.0,0.0,2024-04-12 07:47:29.251917+00:00
544.0,0.0,0.0,2024-04-12 07:47:30.260805+00:00
586.0,0.0,0.0,2024-04-12 07:47:31.294444+00:00
738.0,0.0,0.0,2024-04-12 07:47:32.323198+00:00
722.0,0.0,0.0,2024-04-12 07:47:33.241882+00:00
528.0,0.0,0.0,2024-04-12 07:47:34.264408+00:00
852.0,0.0,0.0,2024-04-12 07:47:35.493514+00:00
712.0,0.0,0.0,2024-04-12 07:47:36.419083+00:00
667.0,0.0,0.0,2024-04-12 07:47:37.439282+00:00
839.0,0.0,0.0,2024-04-12 07:47:38.257457+00:00
759.0,0.0,0.0,2024-04-12 07:47:39.284498+00:00
762.0,0.0,0.0,2024-04-12 07:47:40.304679+00:00
854.0,0.0,0.0,2024-04-12 07:47:41.347118+00:00
610.0,0.0,0.0,2024-04-12 07:47:42.367974+00:00
531.0,0.0,0.0,2024-04-12 07:47:43.385973+00:00
775.0,0.0,0.0,2024-04-12 07:47:44.405307+00:00
590.0,0.0,0.0,2024-04-12 07:47:45.241039+00:00
608.0,0.0,0.0,2024-04-12 07:47:46.251647+00:00
165.0,0.0,0.0,2024-04-12 07:47:47.264756+00:00
651.0,0.0,0.0,2024-04-12 07:47:48.294049+00:00
630.0,0.0,0.0,2024-04-12 07:47:49.431889+00:00
207.0,0.0,0.0,2024-04-12 07:47:50.445770+00:00
752.0,0.0,0.0,2024-04-12 07:47:51.268741+00:00
720.0,0.0,0.0,2024-04-12 07:47:52.284274+00:00
203.0,0.0,0.0,2024-04-12 07:47:53.321353+00:00
606.0,0.0,0.0,2024-04-12 07:47:54.439094+00:00
642.0,0.0,0.0,2024-04-12 07:47:55.361518+00:00
78.0,0.0,0.0,2024-04-12 07:47:56.286103+00:00
585.0,0.0,0.0,2024-04-12 07:47:57.302948+00:00
720.0,0.0,0.0,2024-04-12 07:47:58.330909+00:00
123.0,0.0,0.0,2024-04-12 07:47:59.360266+00:00
371.0,0.0,0.0,2024-04-12 07:48:00.373770+00:00
263.0,0.0,0.0,2024-04-12 07:48:01.400738+00:00
0.0,98.0,0.0,2024-04-12 07:48:02.425222+00:00
250.0,75.0,0.0,2024-04-12 07:48:03.238246+00:00
214.0,64.0,3.0,2024-04-12 07:48:04.229865+00:00
0.0,112.0,3.0,2024-04-12 07:48:05.290170+00:00
224.0,112.0,8.0,2024-04-12 07:48:06.316052+00:00
186.0,102.0,11.0,2024-04-12 07:48:07.341216+00:00
0.0,112.0,11.0,2024-04-12 07:48:08.235028+00:00
266.0,122.0,13.0,2024-04-12 07:48:09.289383+00:00
261.0,113.0,16.0,2024-04-12 07:48:10.414359+00:00
0.0,115.0,16.0,2024-04-12 07:48:11.440306+00:00
219.0,118.0,19.0,2024-04-12 07:48:12.251780+00:00
197.0,103.0,22.0,2024-04-12 07:48:13.278121+00:00
0.0,93.0,22.0,2024-04-12 07:48:14.232445+00:00
241.0,70.0,26.0,2024-04-12 07:48:15.326677+00:00
262.0,49.0,31.0,2024-04-12 07:48:16.227489+00:00
0.0,0.0,31.0,2024-04-12 07:48:17.374017+00:00
365.0,0.0,34.0,2024-04-12 07:48:18.399928+00:00
319.0,0.0,36.0,2024-04-12 07:48:19.422057+00:00
0.0,0.0,36.0,2024-04-12 07:48:20.446585+00:00
234.0,0.0,35.0,2024-04-12 07:48:21.266003+00:00
210.0,0.0,34.0,2024-04-12 07:48:22.284431+00:00
0.0,0.0,34.0,2024-04-12 07:48:23.322739+00:00
198.0,0.0,33.0,2024-04-12 07:48:24.338716+00:00
208.0,0.0,34.0,2024-04-12 07:48:25.270553+00:00
0.0,0.0,34.0,2024-04-12 07:48:26.281230+00:00
217.0,0.0,37.0,2024-04-12 07:48:27.507192+00:00
240.0,0.0,39.0,2024-04-12 07:48:28.431103+00:00
0.0,0.0,39.0,2024-04-12 07:48:29.253513+00:00
207.0,0.0,40.0,2024-04-12 07:48:30.238370+00:00
144.0,0.0,41.0,2024-04-12 07:48:31.295706+00:00
0.0,0.0,41.0,2024-04-12 07:48:32.319114+00:00
154.0,0.0,41.0,2024-04-12 07:48:33.245556+00:00
124.0,0.0,42.0,2024-04-12 07:48:34.268504+00:00
0.0,0.0,42.0,2024-04-12 07:48:35.391640+00:00
23.0,0.0,42.0,2024-04-12 07:48:36.424544+00:00
23.0,0.0,42.0,2024-04-12 07:48:37.441991+00:00
59.0,0.0,42.0,2024-04-12 07:48:38.261753+00:00
0.0,0.0,42.0,2024-04-12 07:48:39.287108+00:00
113.0,0.0,42.0,2024-04-12 07:48:40.307207+00:00
52.0,0.0,42.0,2024-04-12 07:48:41.339531+00:00
0.0,0.0,41.0,2024-04-12 07:48:42.355095+00:00
0.0,0.0,40.0,2024-04-12 07:48:43.383803+00:00
