accel_value,speed,timestamp
0,0,2024-04-12 07:43:35.261607+00:00
0,0,2024-04-12 07:43:36.290035+00:00
0,0,2024-04-12 07:43:37.310759+00:00
0,0,2024-04-12 07:43:38.334427+00:00
0,0,2024-04-12 07:43:39.361207+00:00
0,0,2024-04-12 07:43:40.382580+00:00
0,0,2024-04-12 07:43:41.401567+00:00
0,0,2024-04-12 07:43:42.236219+00:00
0,0,2024-04-12 07:43:43.361282+00:00
0,0,2024-04-12 07:43:44.231108+00:00
0,0,2024-04-12 07:43:45.299841+00:00
0,0,2024-04-12 07:43:46.430502+00:00
0,0,2024-04-12 07:43:47.450936+00:00
0,0,2024-04-12 07:43:48.271434+00:00
0,0,2024-04-12 07:43:49.289807+00:00
0,0,2024-04-12 07:43:50.336305+00:00
0,0,2024-04-12 07:43:51.340580+00:00
0,0,2024-04-12 07:43:52.316688+00:00
0,0,2024-04-12 07:43:53.394642+00:00
0,0,2024-04-12 07:43:54.418666+00:00
0,0,2024-04-12 07:43:55.442048+00:00
0,0,2024-04-12 07:43:56.252285+00:00
0,0,2024-04-12 07:43:57.280059+00:00
112,0,2024-04-12 07:43:58.303728+00:00
87,0,2024-04-12 07:43:59.323293+00:00
0,0,2024-04-12 07:44:00.351214+00:00
141,2,2024-04-12 07:44:01.276351+00:00
138,8,2024-04-12 07:44:02.401837+00:00
0,18,2024-04-12 07:44:03.423523+00:00
115,18,2024-04-12 07:44:04.232269+00:00
147,24,2024-04-12 07:44:05.228392+00:00
0,29,2024-04-12 07:44:06.285435+00:00
131,29,2024-04-12 07:44:07.229453+00:00
135,33,2024-04-12 07:44:08.445062+00:00
0,37,2024-04-12 07:44:09.364164+00:00
130,37,2024-04-12 07:44:10.386588+00:00
87,41,2024-04-12 07:44:11.408632+00:00
0,44,2024-04-12 07:44:12.437106+00:00
31,44,2024-04-12 07:44:13.253133+00:00
102,47,2024-04-12 07:44:14.282613+00:00
0,50,2024-04-12 07:44:15.294758+00:00
131,50,2024-04-12 07:44:16.323168+00:00
128,53,2024-04-12 07:44:17.350244+00:00
0,55,2024-04-12 07:44:18.372932+00:00
130,55,2024-04-12 07:44:19.296325+00:00
143,57,2024-04-12 07:44:20.228382+00:00
0,59,2024-04-12 07:44:21.233954+00:00
118,59,2024-04-12 07:44:22.226719+00:00
130,60,2024-04-12 07:44:23.287383+00:00
0,61,2024-04-12 07:44:24.314137+00:00
135,61,2024-04-12 07:44:25.228899+00:00
112,61,2024-04-12 07:44:26.232892+00:00
0,60,2024-04-12 07:44:27.384709+00:00
0,60,2024-04-12 07:44:28.304159+00:00
